英文,中文,img_url
Boston Celtics,塞爾蒂克,https://s.yimg.com/cv/apiv2/default/20231117/70x70/celtics_wbg.png
Brooklyn Nets,籃網,https://s.yimg.com/cv/apiv2/default/nba/20181129/70x70/nets_wbg.png
New York Knicks,尼克,https://s.yimg.com/cv/apiv2/default/nba/20181226/70x70/knicks_wbg.png
Philadelphia 76ers,76人,https://s.yimg.com/cv/apiv2/default/nba/20181217/70x70/76ers_wbg.png
Toronto Raptors,暴龍,https://s.yimg.com/cv/apiv2/default/nba/20181221/70x70/raptors_wbgs.png
Chicago Bulls,公牛,https://s.yimg.com/cv/apiv2/default/nba/20181212/70x70/bulls_wbgs.png
Cleveland Cavaliers,騎士,https://s.yimg.com/cv/apiv2/default/nba/20220917/70x70/cavaliers_wbg.png
Detroit Pistons,活塞,https://s.yimg.com/cv/apiv2/default/nba/20181214/70x70/pistons_wbg.png
Indiana Pacers,溜馬,https://s.yimg.com/cv/apiv2/default/nba/20181214/70x70/pacers_wbg.png
Milwaukee Bucks,公鹿,https://s.yimg.com/cv/apiv2/default/nba/20181214/70x70/bucks_wbg.png
Atlanta Hawks,老鷹,https://s.yimg.com/cv/apiv2/default/nba/20181211/70x70/hawks_wbg.png
Charlotte Hornets,黃蜂,https://s.yimg.com/cv/apiv2/default/nba/20181211/70x70/hornets_wbg.png
Miami Heat,熱火,https://s.yimg.com/cv/apiv2/default/nba/20181218/70x70/heat_wbgs.png
Orlando Magic,魔術,https://s.yimg.com/cv/apiv2/default/nba/20181217/70x70/magic_wbg.png
Washington Wizards,巫師,https://s.yimg.com/cv/apiv2/default/nba/20181221/70x70/wizards_wbg.png
Denver Nuggets,金塊,https://s.yimg.com/cv/apiv2/default/nba/20181213/70x70/nuggets_wbg.png
Minnesota Timberwolves,灰狼,https://s.yimg.com/cv/apiv2/default/nba/20181226/70x70/timberwolves_wbg.png
Oklahoma City Thunder,雷霆,https://s.yimg.com/cv/apiv2/default/nba/20181218/70x70/thunder_wbgs.png
Portland Trail Blazers,拓荒者,https://s.yimg.com/cv/apiv2/default/nba/20181221/70x70/trailblazers_wbgs.png
Utah Jazz,爵士,https://s.yimg.com/cv/apiv2/default/20231120/70x70/jazz_wbg.png
Golden State Warriors,勇士,https://s.yimg.com/cv/apiv2/default/nba/20191016/70x70/warriors_wbg.png
LA Clippers,快艇,https://s.yimg.com/cv/apiv2/default/20241016/70px/Clippers2_wbg.png
Los Angeles Lakers,湖人,https://s.yimg.com/cv/apiv2/default/20230905/70px/lakers_wbg.png
Phoenix Suns,太陽,https://s.yimg.com/cv/apiv2/default/mlb/20190318/70x70/suns_wbgs.png
Sacramento Kings,國王,https://s.yimg.com/cv/apiv2/default/nba/20181220/70x70/kings_wbg.png
Dallas Mavericks,獨行俠,https://s.yimg.com/cv/apiv2/default/nba/20181214/70x70/mavericks_wbg.png
Houston Rockets,火箭,https://s.yimg.com/cv/apiv2/default/nba/20191016/70x70/rockets_wbgs.png
Memphis Grizzlies,灰熊,https://s.yimg.com/cv/apiv2/default/nba/20181218/70x70/grizzlies_wbg.png
New Orleans Pelicans,鵜鶘,https://s.yimg.com/cv/apiv2/default/nba/20181226/70x70/pelicans_wbg.png
San Antonio Spurs,馬刺,https://s.yimg.com/cv/apiv2/default/nba/20181221/70x70/spurs_wbg.png
